Date,County,Item Description,Sale (Dollars)
09/12/2016,POLK,99 Apples,23.4
09/13/2016,POLK,99 Apples,70.2
09/14/2016,POLK,99 Apples,35.1
09/14/2016,POLK,99 Apples,35.1
09/14/2016,POLK,99 Apples,46.8
09/15/2016,POLK,99 Apples,46.8
09/15/2016,POLK,99 Apples,35.1
09/16/2016,POLK,99 Apples,46.8
09/19/2016,POLK,99 Apples,11.7
09/20/2016,POLK,99 Apples,46.8
09/26/2016,POLK,99 Apples,35.1
09/30/2016,POLK,99 Apples,46.8
10/03/2016,POLK,99 Apples,23.4
10/03/2016,POLK,99 Apples,140.4
10/04/2016,POLK,99 Apples,23.4
10/06/2016,POLK,99 Apples,23.4
10/12/2016,POLK,99 Apples,35.1
10/17/2016,POLK,99 Apples,35.1
10/27/2016,POLK,99 Apples,23.4
11/03/2016,POLK,99 Apples,23.4
11/03/2016,POLK,99 Apples,23.4
11/10/2016,POLK,99 Apples,23.4
11/17/2016,POLK,99 Apples,23.4
11/17/2016,POLK,99 Apples,70.2
12/02/2016,POLK,99 Apples,46.8
12/08/2016,POLK,99 Apples,11.7
12/13/2016,POLK,99 Apples,35.1
12/13/2016,POLK,99 Apples,11.7
12/13/2016,POLK,99 Apples,140.4
12/20/2016,POLK,99 Apples,23.4
12/21/2016,POLK,99 Apples,23.4
12/22/2016,POLK,99 Apples,11.7
12/26/2016,POLK,99 Apples,23.4
12/29/2016,POLK,99 Apples,23.4
12/29/2016,POLK,99 Apples,35.1
12/29/2016,POLK,99 Apples,11.7
12/30/2016,POLK,99 Apples,70.2
01/03/2017,POLK,99 Apples,11.7
01/05/2017,POLK,99 Apples,23.4
01/05/2017,POLK,99 Apples,140.4
01/11/2017,POLK,99 Apples,46.8
01/12/2017,POLK,99 Apples,23.4
01/16/2017,POLK,99 Apples,23.4
01/18/2017,POLK,99 Apples,35.1
01/18/2017,POLK,99 Apples,140.4
01/26/2017,POLK,99 Apples,11.7
01/31/2017,POLK,99 Apples,23.4
02/02/2017,POLK,99 Apples,23.4
02/08/2017,POLK,99 Apples,23.4
02/08/2017,POLK,99 Apples,35.1
02/09/2017,POLK,99 Apples,35.1
02/09/2017,POLK,99 Apples,46.8
02/10/2017,POLK,99 Apples,11.7
02/16/2017,POLK,99 Apples,35.1
02/23/2017,POLK,99 Apples,11.7
02/27/2017,POLK,99 Apples,23.4
02/28/2017,POLK,99 Apples,11.7
03/06/2017,POLK,99 Apples,23.4
03/06/2017,POLK,99 Apples,35.1
03/08/2017,POLK,99 Apples,35.1
03/10/2017,POLK,99 Apples,70.2
03/13/2017,POLK,99 Apples,23.4
03/16/2017,POLK,99 Apples,70.2
03/20/2017,POLK,99 Apples,11.7
03/28/2017,POLK,99 Apples,35.1
03/29/2017,POLK,99 Apples,23.4
03/31/2017,POLK,99 Apples,11.7
04/10/2017,POLK,99 Apples,35.1
04/11/2017,POLK,99 Apples,35.1
04/18/2017,POLK,99 Apples,70.2
04/20/2017,POLK,99 Apples,23.4
04/27/2017,POLK,99 Apples,23.4
05/04/2017,POLK,99 Apples,23.38
05/04/2017,POLK,99 Apples,140.28
05/08/2017,POLK,99 Apples,23.38
05/08/2017,POLK,99 Apples,11.69
05/11/2017,POLK,99 Apples,23.38
05/17/2017,POLK,99 Apples,140.28
05/18/2017,POLK,99 Apples,23.38
05/22/2017,POLK,99 Apples,23.38
05/25/2017,POLK,99 Apples,23.38
05/25/2017,POLK,99 Apples,11.69
05/26/2017,POLK,99 Apples,140.28
05/30/2017,POLK,99 Apples,11.69
06/01/2017,POLK,99 Apples,35.07
06/07/2017,POLK,99 Apples,35.07
06/08/2017,POLK,99 Apples,23.38
06/08/2017,POLK,99 Apples,11.69
06/09/2017,POLK,99 Apples,35.07
06/14/2017,POLK,99 Apples,11.69
06/22/2017,POLK,99 Apples,23.38
06/26/2017,POLK,99 Apples,23.38
06/30/2017,POLK,99 Apples,35.07
07/07/2017,POLK,99 Apples,11.69
07/13/2017,POLK,99 Apples,35.07
07/13/2017,POLK,99 Apples,35.07
07/17/2017,POLK,99 Apples,23.38
07/18/2017,POLK,99 Apples,35.07
07/20/2017,POLK,99 Apples,58.45
07/24/2017,POLK,99 Apples,11.69
07/28/2017,POLK,99 Apples,11.69
07/28/2017,POLK,99 Apples,11.69
08/01/2017,POLK,99 Apples,35.07
08/04/2017,POLK,99 Apples,11.69
08/10/2017,POLK,99 Apples,35.07
08/10/2017,POLK,99 Apples,23.38
08/11/2017,POLK,99 Apples,11.69
08/14/2017,POLK,99 Apples,23.38
08/14/2017,POLK,99 Apples,11.69
08/17/2017,POLK,99 Apples,23.38
08/21/2017,POLK,99 Apples,23.38
08/25/2017,POLK,99 Apples,70.14
08/29/2017,POLK,99 Apples,35.07
08/31/2017,POLK,99 Apples,35.07
08/31/2017,POLK,99 Apples,35.07
08/31/2017,POLK,99 Apples,23.38
09/07/2017,POLK,99 Apples,11.69
09/08/2017,POLK,99 Apples,11.69
09/14/2017,POLK,99 Apples,11.69
09/18/2017,POLK,99 Apples,23.38
09/18/2017,POLK,99 Apples,35.07
09/21/2017,POLK,99 Apples,23.38
10/05/2017,POLK,99 Apples,46.76
10/10/2017,POLK,99 Apples,35.07
10/10/2017,POLK,99 Apples,46.76
10/12/2017,POLK,99 Apples,35.07
10/17/2017,POLK,99 Apples,35.07
10/18/2017,POLK,99 Apples,23.38
10/26/2017,POLK,99 Apples,23.38
10/26/2017,POLK,99 Apples,35.07
10/26/2017,POLK,99 Apples,11.69
10/30/2017,POLK,99 Apples,23.38
10/31/2017,POLK,99 Apples,11.69
10/31/2017,POLK,99 Apples,11.69
11/02/2017,POLK,99 Apples,23.38
11/06/2017,POLK,99 Apples,23.38
11/14/2017,POLK,99 Apples,35.07
11/16/2017,POLK,99 Apples,35.07
11/21/2017,POLK,99 Apples,46.76
11/22/2017,POLK,99 Apples,23.38
11/27/2017,POLK,99 Apples,11.69
11/30/2017,POLK,99 Apples,140.28
11/30/2017,POLK,99 Apples,140.28
12/11/2017,POLK,99 Apples,23.38
12/12/2017,POLK,99 Apples,35.07
12/14/2017,POLK,99 Apples,46.76
12/14/2017,POLK,99 Apples,23.38
12/18/2017,POLK,99 Apples,35.07
12/19/2017,POLK,99 Apples,23.38
12/27/2017,POLK,99 Apples,46.76
12/28/2017,POLK,99 Apples,11.69
12/28/2017,POLK,99 Apples,11.69
01/02/2018,POLK,99 Apples,23.38
01/03/2018,POLK,99 Apples,280.56
01/04/2018,POLK,99 Apples,70.14
01/04/2018,POLK,99 Apples,35.07
01/05/2018,POLK,99 Apples,70.14
01/08/2018,POLK,99 Apples,140.28
01/08/2018,POLK,99 Apples,140.28
01/08/2018,POLK,99 Apples,11.69
01/23/2018,POLK,99 Apples,35.07
01/23/2018,POLK,99 Apples,140.28
02/05/2018,POLK,99 Apples,11.69
02/05/2018,POLK,99 Apples,11.69
02/06/2018,POLK,99 Apples,35.07
02/08/2018,POLK,99 Apples,280.56
02/08/2018,POLK,99 Apples,35.07
02/08/2018,POLK,99 Apples,70.14
02/08/2018,POLK,99 Apples,46.76
02/08/2018,POLK,99 Apples,140.28
02/09/2018,POLK,99 Apples,35.07
02/09/2018,POLK,99 Apples,35.07
02/12/2018,POLK,99 Apples,23.38
02/14/2018,POLK,99 Apples,35.07
02/15/2018,POLK,99 Apples,23.38
02/22/2018,POLK,99 Apples,23.38
02/22/2018,POLK,99 Apples,140.28
02/26/2018,POLK,99 Apples,11.69
02/27/2018,POLK,99 Apples,35.07
03/01/2018,POLK,99 Apples,11.69
03/02/2018,POLK,99 Apples,70.14
03/06/2018,POLK,99 Apples,35.07
03/06/2018,POLK,99 Apples,35.07
03/12/2018,POLK,99 Apples,23.38
03/14/2018,POLK,99 Apples,140.28
03/15/2018,POLK,99 Apples,11.69
03/16/2018,POLK,99 Apples,46.76
03/19/2018,POLK,99 Apples,23.38
03/20/2018,POLK,99 Apples,140.28
03/22/2018,POLK,99 Apples,35.07
03/22/2018,POLK,99 Apples,11.69
03/26/2018,POLK,99 Apples,140.28
03/27/2018,POLK,99 Apples,140.28
03/27/2018,POLK,99 Apples,35.07
03/29/2018,POLK,99 Apples,11.69
04/03/2018,POLK,99 Apples,35.07
04/12/2018,POLK,99 Apples,11.69
04/16/2018,POLK,99 Apples,11.69
04/19/2018,POLK,99 Apples,23.38
04/26/2018,POLK,99 Apples,35.07
05/10/2018,POLK,99 Apples,23.38
05/16/2018,POLK,99 Apples,11.69
05/24/2018,POLK,99 Apples,35.07
05/31/2018,POLK,99 Apples,35.07
05/31/2018,POLK,99 Apples,140.28
06/14/2018,POLK,99 Apples,23.38
06/14/2018,POLK,99 Apples,11.69
